C:\Users\josh\Desktop\Data\IMG\center_2019_02_19_23_00_59_825.jpg,C:\Users\josh\Desktop\Data\IMG\left_2019_02_19_23_00_59_825.jpg,C:\Users\josh\Desktop\Data\IMG\right_2019_02_19_23_00_59_825.jpg,-0.6000001,1,0,2.867541
C:\Users\josh\Desktop\Data\IMG\center_2019_02_19_23_00_59_890.jpg,C:\Users\josh\Desktop\Data\IMG\left_2019_02_19_23_00_59_890.jpg,C:\Users\josh\Desktop\Data\IMG\right_2019_02_19_23_00_59_890.jpg,0,1,0,3.553768
C:\Users\josh\Desktop\Data\IMG\center_2019_02_19_23_00_59_958.jpg,C:\Users\josh\Desktop\Data\IMG\left_2019_02_19_23_00_59_958.jpg,C:\Users\josh\Desktop\Data\IMG\right_2019_02_19_23_00_59_958.jpg,0,1,0,4.492534
C:\Users\josh\Desktop\Data\IMG\center_2019_02_19_23_01_00_027.jpg,C:\Users\josh\Desktop\Data\IMG\left_2019_02_19_23_01_00_027.jpg,C:\Users\josh\Desktop\Data\IMG\right_2019_02_19_23_01_00_027.jpg,0,1,0,5.190383
C:\Users\josh\Desktop\Data\IMG\center_2019_02_19_23_01_00_096.jpg,C:\Users\josh\Desktop\Data\IMG\left_2019_02_19_23_01_00_096.jpg,C:\Users\josh\Desktop\Data\IMG\right_2019_02_19_23_01_00_096.jpg,0,1,0,5.884254
C:\Users\josh\Desktop\Data\IMG\center_2019_02_19_23_01_00_163.jpg,C:\Users\josh\Desktop\Data\IMG\left_2019_02_19_23_01_00_163.jpg,C:\Users\josh\Desktop\Data\IMG\right_2019_02_19_23_01_00_163.jpg,0,1,0,6.80314
C:\Users\josh\Desktop\Data\IMG\center_2019_02_19_23_01_00_232.jpg,C:\Users\josh\Desktop\Data\IMG\left_2019_02_19_23_01_00_232.jpg,C:\Users\josh\Desktop\Data\IMG\right_2019_02_19_23_01_00_232.jpg,-0.1,1,0,7.485613
C:\Users\josh\Desktop\Data\IMG\center_2019_02_19_23_01_00_300.jpg,C:\Users\josh\Desktop\Data\IMG\left_2019_02_19_23_01_00_300.jpg,C:\Users\josh\Desktop\Data\IMG\right_2019_02_19_23_01_00_300.jpg,0,1,0,8.376493
C:\Users\josh\Desktop\Data\IMG\center_2019_02_19_23_01_00_369.jpg,C:\Users\josh\Desktop\Data\IMG\left_2019_02_19_23_01_00_369.jpg,C:\Users\josh\Desktop\Data\IMG\right_2019_02_19_23_01_00_369.jpg,0,1,0,9.049561
C:\Users\josh\Desktop\Data\IMG\center_2019_02_19_23_01_00_438.jpg,C:\Users\josh\Desktop\Data\IMG\left_2019_02_19_23_01_00_438.jpg,C:\Users\josh\Desktop\Data\IMG\right_2019_02_19_23_01_00_438.jpg,0,1,0,9.943429
